Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
9662.3193, 9662.32, 0.59, 2.97, 126.102, OUT, F0
9655.5352, 9655.54, 2.39, -5.58, 83.127, OUT, F1
9615.3398, 9615.34, -3.40, -1.13, 136.608, OUT, F0
9600.5771, 9600.58, -7.13, 2.38, 126.102, OUT, F1
9595.4629, 9595.46, 4.08, -2.72, 104.527, OUT, F2
9592.5645, 9592.56, 5.53, -4.30, 116.527, OUT, F1
9578.8193, 9578.82, 6.16, 0.00, 87.315, OUT, F0
9576.1357, 9576.14, 0.68, -3.40, 104.527, OUT, F2
9568.5127, 9568.51, -5.46, 1.64, 145.141, OUT, F1
9565.0547, 9565.05, -1.87, 1.87, 114.872, OUT, F2
9547.7891, 9547.79, 2.97, -2.38, 126.102, OUT, F1
9530.0498, 9530.05, -2.57, -4.49, 111.506, OUT, F0
9523.8682, 9523.87, 4.86, 4.86, 80.970, OUT, F2
9508.4131, 9508.41, -2.33, -2.33, 132.184, OUT, F0
9486.8857, 9486.89, -1.93, 4.49, 111.506, OUT, F0
9444.8799, 9444.88, 5.35, -2.97, 126.102, OUT, F2
9425.8008, 9425.80, 3.92, 3.92, 85.241, OUT, F1
9424.1855, 9424.19, -3.49, -2.33, 132.184, OUT, F0
9420.9932, 9420.99, 0.74, 3.68, 93.323, OUT, F2
9403.8887, 9403.89, -7.62, -1.63, 146.526, OUT, F2
9391.6221, 9391.62, 2.33, -1.75, 132.184, OUT, F0
9375.8809, 9375.88, 0.64, -1.93, 111.506, OUT, F1
9356.6533, 9356.65, 0.58, 0.00, 133.671, OUT, F1
9354.6230, 9354.62, 0.56, -2.81, 138.058, OUT, F0
9322.6143, 9322.61, -5.94, -2.97, 126.102, OUT, F0
9319.4063, 9319.41, -7.86, -2.81, 138.058, OUT, F0
9316.1299, 9316.13, -3.21, -1.28, 111.506, OUT, F1
9311.0557, 9311.06, 1.78, -1.78, 124.545, OUT, F2
9310.2539, 9310.25, 6.53, 3.73, 56.191, OUT, F2
9292.7529, 9292.75, 4.37, 0.00, 145.141, OUT, F1
9279.1768, 9279.18, -1.47, 4.42, 93.323, OUT, F2
9276.1914, 9276.19, -4.75, 0.00, 126.102, OUT, F0
9269.5742, 9269.57, 1.41, 4.24, 99.047, OUT, F2
9264.6689, 9264.67, 0.53, 0.53, 154.632, OUT, F0
