Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
9165.5313, 9165.53, -1.50, -1.00, 99.047, OUT, F1
9148.7871, 9148.79, 3.01, 2.51, 99.047, OUT, F2
9138.7578, 9138.76, -7.01, -2.50, 147.901, OUT, F2
9127.9814, 9127.98, -4.51, 1.50, 99.047, OUT, F0
9125.1455, 9125.15, -1.50, 0.00, 99.047, OUT, F1
9113.3477, 9113.35, -0.50, -0.50, 99.047, OUT, F1
9106.2178, 9106.22, -3.01, -3.01, 99.047, OUT, F1
9103.6592, 9103.66, 5.75, 0.48, 129.170, OUT, F2
9095.1113, 9095.11, -7.38, -0.49, 143.746, OUT, F2
9087.0039, 9087.00, 3.28, 4.37, 83.127, OUT, F2
9067.6514, 9067.65, 0.47, 0.00, 122.974, OUT, F2
9054.1611, 9054.16, -2.51, 3.01, 99.047, OUT, F1
9043.7129, 9043.71, 1.42, 0.94, 124.545, OUT, F2
9041.2363, 9041.24, 0.00, -6.24, 76.519, OUT, F1
9028.6162, 9028.62, -7.50, -3.75, 122.974, OUT, F0
9012.4590, 9012.46, 1.50, -3.01, 99.047, OUT, F2
9007.9473, 9007.95, 0.00, -1.50, 99.047, OUT, F1
9003.6699, 9003.67, 1.41, -1.41, 122.974, OUT, F1
9002.9893, 9002.99, -7.51, -2.00, 147.901, OUT, F0
8986.3643, 8986.36, 2.01, -4.01, 99.047, OUT, F0
8981.5273, 8981.53, 1.50, 3.51, 99.047, OUT, F2
8974.5293, 8974.53, 3.77, -4.85, 85.241, OUT, F0
8971.6826, 8971.68, -4.25, 4.25, 124.545, OUT, F0
8965.5781, 8965.58, 2.53, -3.54, 97.168, OUT, F1
8956.4775, 8956.48, -4.34, 1.45, 133.671, OUT, F2
8950.6094, 8950.61, -0.50, -2.51, 99.047, OUT, F2
8949.7393, 8949.74, -0.50, -3.01, 99.047, OUT, F2
8946.2764, 8946.28, 2.41, 0.48, 133.671, OUT, F2
8933.9053, 8933.91, -2.51, 2.01, 99.047, OUT, F2
